STUDY_ID	SAMPLE_ID	FERMT1	FERMT2	FERMT3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	-0.1496	0.129	-1.465
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	-2.5628	0.3356	0.1471
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	-1.1536	1.7933	1.5202
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	-0.0398	-0.2204	0.0174
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	0.4022	0.3053	0.6398
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	-0.7092	-1.5504	0.3473
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	0.9073	-1.2291	-1.2294
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	0.457	-0.7539	-0.31
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	1.6285	0.9674	0.1971
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	-2.285	-0.9875	0.5076
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	0.6212	-1.3447	1.5401
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	-1.2338	0.1077	-0.3271
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	-0.8755	1.0038	-1.8587
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	0.1186	1.8324	2.1331
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	-1.0856	1.1089	-1.1487
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	1.6867	0.0931	0.6392
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	1.6845	-0.0252	0.1189
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	0.3662	-0.1387	-1.0148
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	1.5064	0.8733	-0.2205
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	0.3767	-0.88	1.8036
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	-0.0527	0.1919	-0.9216
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	0.4307	0.4198	0.5348
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	-0.2155	1.2784	-0.0781
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	1.7381	0.3691	0.2193
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	-0.2125	-0.2658	-1.0809
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	1.393	0.328	-0.2771
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	-0.5243	0.2634	0.0906
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	0.3624	-2.5963	0.1132
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	0.897	-0.4642	-1.1135
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	-0.7176	0.8139	-0.5732
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	0.7322	-0.2552	0.1749
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	0.3714	-2.5717	-0.8919
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	0.1957	-0.522	-0.679
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	-0.1533	0.1581	-0.9323
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KP-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KQ-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KS-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KT-01	0.101	0.0696	1.4309
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KU-01	0.242	-0.4629	-1.3497
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KV-01	0.1879	-0.7273	-1.8057
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KW-01	-1.0128	-0.0874	0.647
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KX-01	0.6293	0.793	0.6534
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KY-01	-1.9418	-0.065	0.4837
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KZ-01	1.0429	1.0286	-0.2006
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L1-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L2-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L3-01	0.4316	-1.0774	-0.3772
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L4-01	0.5409	0.1948	-0.4343
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L5-01	1.0517	0.7573	0.7428
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L6-01	0.7151	-0.823	1.1862
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L8-01	0.7261	1.6988	-1.5922
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L9-01	-0.6398	-1.0706	1.5385
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LA-01	0.2236	-0.7349	0.8944
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LB-01	0.3288	0.866	-1.4982
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LC-01	0.2561	-1.0524	0.2598
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LD-01	-0.1307	-0.815	-0.4749
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LE-01	-0.6038	0.0025	-1.8951
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LF-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LG-01	0.2439	0.0247	0.9698
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LH-01	-0.6557	-1.7031	0.0648
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LI-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LJ-01	0.5842	0.0015	0.2988
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LK-01	-0.1351	-0.2469	1.6023
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LL-01	0.3139	0.4454	-1.403
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LM-01	-0.4247	-0.152	0.7376
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LN-01	0.1016	-0.0428	0.4803
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LO-01	-0.1993	1.1588	-0.3474
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LP-01	1.2444	0.3207	0.8102
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LR-01	1.0283	0.3636	0.0907
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LS-01	-0.4545	-1.8143	-1.6484
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LT-01	0.8344	-0.9258	-0.9807
acc_tcga_pan_can_atlas_2018	TCGA-OU-A5PI-01	0.9497	1.6086	-1.115
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OF-01	0.2108	-0.4645	0.2054
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5OG-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OH-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-PA-A5YG-01	1.2553	0.3244	1.1283
