0,1
TCGA-AD-6888,Altered
TCGA-AD-6963,Altered
TCGA-AG-A00C,Altered
TCGA-AG-A00Y,Altered
TCGA-AG-A02G,Altered
TCGA-AG-A02X,Altered
TCGA-AH-6544,Altered
TCGA-AY-A54L,Altered
TCGA-AY-A71X,Altered
TCGA-AY-5543,Altered
TCGA-AZ-6599,Altered
TCGA-66-2727,Altered
TCGA-66-2734,Altered
TCGA-66-2737,Altered
TCGA-66-2742,Altered
TCGA-66-2753,Altered
TCGA-66-2754,Altered
TCGA-66-2756,Altered
TCGA-66-2758,Altered
TCGA-66-2759,Altered
TCGA-66-2763,Altered
TCGA-66-2765,Altered
TCGA-66-2766,Altered
TCGA-66-2768,Altered
TCGA-66-2769,Altered
TCGA-66-2770,Altered
TCGA-66-2773,Altered
TCGA-66-2778,Altered
TCGA-66-2780,Altered
TCGA-66-2781,Altered
TCGA-66-2782,Altered
TCGA-66-2783,Altered
TCGA-66-2787,Altered
TCGA-66-2788,Altered
TCGA-66-2789,Altered
TCGA-66-2790,Altered
TCGA-66-2792,Altered
TCGA-66-2793,Altered
TCGA-66-2795,Altered
TCGA-66-2800,Altered
TCGA-BC-A5W4,Altered
TCGA-BC-A10U,Altered
TCGA-67-3770,Altered
TCGA-67-3774,Altered
TCGA-67-4679,Altered
TCGA-67-6215,Altered
TCGA-CA-5255,Altered
TCGA-CC-A8HV,Altered
TCGA-CK-5915,Altered
TCGA-D5-6532,Altered
TCGA-D5-6537,Altered
TCGA-68-A59I,Altered
TCGA-68-A59J,Altered
TCGA-68-7755,Altered
TCGA-68-7756,Altered
TCGA-68-7757,Altered
TCGA-68-8250,Altered
TCGA-68-8251,Altered
TCGA-DD-A3A4,Altered
TCGA-DD-A3A8,Altered
TCGA-DD-AADL,Altered
TCGA-DD-AAE9,Altered
TCGA-DD-AAVY,Altered
TCGA-DD-AAW3,Altered
TCGA-DD-A73E,Altered
TCGA-DM-A1D8,Altered
TCGA-DM-A1DB,Altered
TCGA-DM-A28F,Altered
TCGA-DM-A28H,Altered
TCGA-DM-A28M,Altered
TCGA-DQ-7588,Altered
TCGA-DY-A1DG,Altered
TCGA-E2-A574,Altered
TCGA-69-7760,Altered
TCGA-69-7765,Altered
TCGA-69-7973,Altered
TCGA-69-7979,Altered
TCGA-69-8253,Altered
TCGA-70-6722,Altered
TCGA-70-6723,Altered
TCGA-G4-6307,Altered
TCGA-G4-6317,Altered
TCGA-G4-6626,Altered
TCGA-71-6725,Altered
TCGA-71-8520,Altered
TCGA-73-4668,Altered
TCGA-73-4675,Altered
TCGA-73-4676,Altered
TCGA-73-7498,Altered
TCGA-J1-A4AH,Altered
TCGA-J2-A4AD,Altered
TCGA-J2-A4AE,Altered
TCGA-J2-8194,Altered
TCGA-75-5146,Altered
TCGA-75-6207,Altered
TCGA-75-6211,Altered
TCGA-75-6214,Altered
TCGA-75-7025,Altered
TCGA-75-7027,Altered
TCGA-L3-A4E7,Altered
TCGA-L3-A524,Altered
TCGA-L4-A4E5,Altered
TCGA-L9-A5IP,Altered
TCGA-L9-A50W,Altered
TCGA-L9-A443,Altered
TCGA-LA-A446,Altered
TCGA-77-A5G1,Altered
TCGA-77-A5G6,Altered
TCGA-77-A5G7,Altered
TCGA-77-A5G8,Altered
TCGA-77-A5GB,Altered
TCGA-77-A5GF,Altered
TCGA-77-6843,Altered
TCGA-77-6844,Altered
TCGA-77-6845,Altered
TCGA-77-7138,Altered
TCGA-77-7139,Altered
TCGA-77-7140,Altered
